"","ForeName","Middle1","Middle2","LastName","Order","Title","PMID","DOI","Journal","Address","CitationCount","Gender"
"12","Adam","J","","Kucharski",16,"Infodemics: A new challenge for public health.",34890548,"10.1016/j.cell.2021.10.031","Cell","Department of Infectious Disease Epidemiology, London School of Hygiene &amp","1","M"
"13","Adam","B","","Olshen",19,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"10.1016/j.cell.2021.12.004","Cell","UCSF Immunoprofiler Initiative, University of California, San Francisco, San Francisco, CA 94143, USA","0","M"
"14","Ádám","","","Póti",7,"Epistasis, aneuploidy, and functional mutations underlie evolution of resistance to induced microtubule depolymerization.",34605051,"10.15252/embj.2021108225","The EMBO journal","Institute of Enzymology, Research Centre for Natural Sciences, Budapest, Hungary","0","M"
"15","Adil","I","","Daud",28,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"10.1016/j.cell.2021.12.004","Cell","Department of Medicine, Division of Hematology and Oncology, University of California, San Francisco, San Francisco, CA 94143, USA","0","M"
"16","Adi","","","Millman",3,"Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.",34644530,"10.1016/j.cell.2021.09.031","Cell","Department of Molecular Genetics, Weizmann Institute of Science, Rehovot 7610001, Israel","8",""
"17","Aditya","","","Nair",3,"A genetically tractable jellyfish model for systems and evolutionary neuroscience.",34822783,"10.1016/j.cell.2021.10.021","Cell","Division of Biology and Biological Engineering 140-18, California Institute of Technology, Pasadena, CA 91125, USA","3","M"
"18","Adnan","S","","Askari",9,"Neoantigen-driven B cell and CD4 T follicular helper cell collaboration promotes anti-tumor CD8 T cell responses.",34852236,"10.1016/j.cell.2021.11.007","Cell","Department of Immunobiology, Yale University School of Medicine, New Haven, CT 06520, USA","1","M"
"19","Adolf","S","","Bierhuizen",4,"Molecular species selectivity of lipid transport creates a mitochondrial sink for di-unsaturated phospholipids.",34873731,"10.15252/embj.2020106837","The EMBO journal","Membrane Biochemistry &amp","0","M"
"20","Adriana","","","Magalska",5,"The nucleoporin Nup50 activates the Ran guanine nucleotide exchange factor RCC1 to promote NPC assembly at the end of mitosis.",34725842,"10.15252/embj.2021108788","The EMBO journal","Friedrich Miescher Laboratory of the Max Planck Society, Tübingen, Germany","1","F"
"21","Adrian","","","Brückner",1,"Evolutionary assembly of cooperating cell types in an animal chemical defense system.",34890552,"10.1016/j.cell.2021.11.014","Cell","Division of Biology and Biological Engineering, California Institute of Technology, Pasadena, CA 91125, USA","0","M"
"22","Adrian","M","","Isaacs",16,"C9orf72 ALS/FTD dipeptide repeat protein levels are reduced by small molecules that inhibit PKA or enhance protein degradation.",34791698,"10.15252/embj.2020105026","The EMBO journal","Department of Neurodegenerative Disease, UCL Queen Square Institute of Neurology, London, UK","0","M"
"23","Adrian","","","Shields",33,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Institute of Immunology and Immunotherapy, College of Medical and Dental Science, University of Birmingham, Birmingham, UK","24","M"
"24","Adrienn","","","Angyal",13,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Department of Infection, Immunity and Cardiovascular Disease, University of Sheffield, Sheffield, UK","24","F"
"25","Adrienne","","","Goode",29,"Protection from SARS-CoV-2 Delta one year after mRNA-1273 vaccination in rhesus macaques coincides with anamnestic antibody response in the lung.",34921774,"10.1016/j.cell.2021.12.002","Cell","Bioqual, Inc., Rockville, MD 20850, USA","6","F"
"26","Adrienne","C","","Philson",5,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.",34610277,"10.1016/j.cell.2021.09.013","Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA","4","F"
"27","Adwoa","","","Sefah",9,"GABA-receptive microglia selectively sculpt developing inhibitory circuits.",34715023,"10.1016/j.cell.2021.10.009","Cell","","1","F"
"28","Afshin","","","Beheshti",38,"Fundamental Biological Features of Spaceflight: Advancing the Field to Enable Deep-Space Exploration.",34822785,"10.1016/j.cell.2021.11.008","Cell","","0","M"
"29","Agata","A","","Bielecka",7,"A versatile genetic toolbox for Prevotella copri enables studying polysaccharide utilization systems.",34676563,"10.15252/embj.2021108287","The EMBO journal","Department of Microbial Immune Regulation, Helmholtz Centre for Infection Research, Braunschweig, Germany","1","F"
"30","Agatha","","","Treveil",109,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0","F"
"31","Agnieszka","","","Lukaszewicz",1,"De novo deletions and duplications at recombination hotspots in mouse germlines.",34793701,"10.1016/j.cell.2021.10.025","Cell","Developmental Biology Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA","0","F"
"32","Agnieszka","","","Piszczek",7,"RIF1 and KAP1 differentially regulate the choice of inactive versus active X chromosomes.",34786738,"10.15252/embj.2020105862","The EMBO journal","Epigenetics &amp","1","F"
"33","Ahmed","","","El-Sehemy",11,"Photoreceptor nanotubes mediate the in vivo exchange of intracellular material.",34494680,"10.15252/embj.2020107264","The EMBO journal","Donald K. Johnson Eye Institute, Krembil Research Institute, University Health Network, Toronto, ON, Canada","3","M"
"34","Ahmed","","","Haouz",11,"The epitope arrangement on flavivirus particles contributes to Mab C10's extraordinary neutralization breadth across Zika and dengue viruses.",34852239,"10.1016/j.cell.2021.11.010","Cell","Institut Pasteur, Université de Paris, CNRS UMR 3528, Center for Technological Resources and Research, 75015 Paris, France","1","M"
"35","A","John","","Iafrate",9,"Defining genome-wide CRISPR-Cas genome-editing nuclease activity with GUIDE-seq.",34773119,"10.1038/s41596-021-00626-x","Nature protocols","Molecular Pathology Unit, Massachusetts General Hospital, Charlestown, MA, USA","0",""
"36","Aida","","","Iljazovic",5,"A versatile genetic toolbox for Prevotella copri enables studying polysaccharide utilization systems.",34676563,"10.15252/embj.2021108287","The EMBO journal","Department of Microbial Immune Regulation, Helmholtz Centre for Infection Research, Braunschweig, Germany","1","F"
"37","Aishwarya","","","Devaraj",2,"Z-form extracellular DNA is a structural component of the bacterial biofilm matrix.",34735796,"10.1016/j.cell.2021.10.010","Cell","Center for Microbial Pathogenesis, Abigail Wexner Research Institute at Nationwide Children's Hospital, Columbus, OH 43205, USA","2","F"
"38","Aiwei","","","Zeng",3,"CRYPTOCHROMES promote daily protein homeostasis.",34842284,"10.15252/embj.2021108883","The EMBO journal","MRC Laboratory of Molecular Biology, Cambridge, UK","0","F"
"39","Akankshi","","","Munjal",1,"Extracellular hyaluronate pressure shaped by cellular tethers drives tissue morphogenesis.",34942099,"10.1016/j.cell.2021.11.025","Cell","Department of Systems Biology, Harvard Medical School, Boston, MA 02115, USA. Electronic address: akankshi.munjal@duke","0","F"
"40","Akhona","","","Tshangela",17,"Infodemics: A new challenge for public health.",34890548,"10.1016/j.cell.2021.10.031","Cell","Africa Centers for Disease Control and Prevention, African Union Headquarters, Addis Ababa, Ethiopia","1","F"
"41","Akihito","","","Harada",3,"Modeling population size independent tissue epigenomes by ChIL-seq with single thin sections.",34730297,"10.15252/msb.202110323","Molecular systems biology","Division of Transcriptomics, Medical Institute of Bioregulation, Kyushu University, Fukuoka, Japan","0","M"
"42","Akio","","","Masuda",2,"Regulated splicing of large exons is linked to phase-separation of vertebrate transcription factors.",34605568,"10.15252/embj.2020107485","The EMBO journal","Division of Neurogenetics, Center for Neurological Diseases and Cancer, Nagoya University Graduate School of Medicine, Nagoya, Japan","0","M"
"43","Akira","","","Funahashi",26,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0",""
"44","Akshay","","","Gurdita",5,"Photoreceptor nanotubes mediate the in vivo exchange of intracellular material.",34494680,"10.15252/embj.2020107264","The EMBO journal","Donald K. Johnson Eye Institute, Krembil Research Institute, University Health Network, Toronto, ON, Canada","3","M"
"45","Alain","","","Puisieux",33,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.",34654908,"10.1038/s41580-021-00428-9","Nature reviews. Molecular cell biology","Université Claude Bernard Lyon 1, INSERM 1052, CNRS 5286, Centre Léon Bérard, Cancer Research Center of Lyon, Lyon, France","0","M"
"46","Alan","","","Brown",17,"De novo identification of mammalian ciliary motility proteins using cryo-EM.",34715025,"10.1016/j.cell.2021.10.007","Cell","Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA 02115, USA. Electronic address: alan_brown@hms.harvard","4","M"
"47","Alan","","","DenAdel",5,"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer.",34890551,"10.1016/j.cell.2021.11.017","Cell","Center for Computational Molecular Biology, Brown University, Providence, RI 02912, USA","0","M"
"48","Alan","","","Dodson",23,"Protection from SARS-CoV-2 Delta one year after mRNA-1273 vaccination in rhesus macaques coincides with anamnestic antibody response in the lung.",34921774,"10.1016/j.cell.2021.12.002","Cell","Bioqual, Inc., Rockville, MD 20850, USA","6","M"
"49","Alan","J","","Emanuel",4,"Mechanoreceptor synapses in the brainstem shape the central representation of touch.",34637701,"10.1016/j.cell.2021.09.023","Cell","Department of Neurobiology, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA","0","M"
"50","Alan","","","Kadek",3,"Caldendrin and myosin V regulate synaptic spine apparatus localization via ER stabilization in dendritic spines.",34935159,"10.15252/embj.2020106523","The EMBO journal","Leibniz Institute for Experimental Virology (HPI), Hamburg, Germany","0","M"
"51","Alan","R","","Pacheco",7,"A metabolic modeling platform for the computation of microbial ecosystems in time and space (COMETS).",34635859,"10.1038/s41596-021-00593-3","Nature protocols","Bioinformatics Program, Boston University, Boston, MA, USA","0","M"
"52","Alan","","","Shen",8,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"10.1016/j.cell.2021.12.004","Cell","Department of Pathology, University of California, San Francisco, San Francisco, CA 94143, USA","0","M"
"53","Alan","J","","Simmons",4,"Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps.",34910928,"10.1016/j.cell.2021.11.031","Cell","Epithelial Biology Center, Vanderbilt University Medical Center, Nashville, TN, USA","0","M"
"54","Alastair","J","H","Brown",1,"From structure to clinic: Design of a muscarinic M1 receptor agonist with potential to treatment of Alzheimer's disease.",34822784,"10.1016/j.cell.2021.11.001","Cell","Sosei-Heptares, Steinmetz Building, Granta Park, Cambridge, CB21 6DG, UK","0","M"
"55","Alban","","","Ordureau",8,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.",34942047,"10.15252/embj.2021108823","The EMBO journal","Department of Cell Biology, Blavatnik Institute of Harvard Medical School, Boston, MA, USA","0","M"
"56","Alberto","Eugenio","","Tozzi",8,"Infodemics: A new challenge for public health.",34890548,"10.1016/j.cell.2021.10.031","Cell","Multifactorial and Complex Diseases research Area, Bambino Gesù Children's Hospital, Rome, Italy","1","M"
"57","Alberto","","","Valdeolivas",102,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0","M"
"58","Albert","","","Serra-Cardona",3,"Author Correction: Efficient and strand-specific profiling of replicating chromatin with enrichment and sequencing of protein-associated nascent DNA in mammalian cells.",34493873,"10.1038/s41596-021-00618-x","Nature protocols","Institute for Cancer Genetics, Columbia University Irving Medical Center, New York, NY, USA","0","M"
"59","Albert","","","Xu",6,"Mapping the genetic landscape of DNA double-strand break repair.",34672952,"10.1016/j.cell.2021.10.002","Cell","Department of Cellular and Molecular Pharmacology, University of California, San Francisco, San Francisco, CA 94158, USA","0","M"
"60","Alejandro","","","Mata-Cabana",10,"The cellular modifier MOAG-4/SERF drives amyloid formation through charge complementation.",34617299,"10.15252/embj.2020107568","The EMBO journal","European Research Institute for the Biology of Ageing, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands","0","M"
"61","Aleksandra","","","Bankovacki",5,"Oligomerization-driven MLKL ubiquitylation antagonizes necroptosis.",34698396,"10.15252/embj.2019103718","The EMBO journal","The Walter and Eliza Hall Institute of Medical Research, Parkville, VIC, Australia","0","F"
"62","Aleksandra","A","","Petelski",1,"Multiplexed single-cell proteomics using SCoPE2.",34716448,"10.1038/s41596-021-00616-z","Nature protocols","Department of Bioengineering, Northeastern University, Boston, MA, USA","0","F"
"63","Alessandra","","","Stangherlin",4,"CRYPTOCHROMES promote daily protein homeostasis.",34842284,"10.15252/embj.2021108883","The EMBO journal","MRC Laboratory of Molecular Biology, Cambridge, UK","0","F"
"64","Alessandro","","","Potenza",6,"The CRL4DCAF1 cullin-RING ubiquitin ligase is activated following a switch in oligomerization state.",34595758,"10.15252/embj.2021108008","The EMBO journal","Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland","0","M"
"65","Alessandro","","","Provenzani",18,"C9orf72 ALS/FTD dipeptide repeat protein levels are reduced by small molecules that inhibit PKA or enhance protein degradation.",34791698,"10.15252/embj.2020105026","The EMBO journal","Department of Cellular, Computational and Integrative Biology, University of Trento, Trento, Italy","0","M"
"66","Alessandro","","","Quattrone",15,"C9orf72 ALS/FTD dipeptide repeat protein levels are reduced by small molecules that inhibit PKA or enhance protein degradation.",34791698,"10.15252/embj.2020105026","The EMBO journal","Department of Cellular, Computational and Integrative Biology, University of Trento, Trento, Italy","0","M"
"67","Alexander","","","Borodavka",16,"Liquid-liquid phase separation underpins the formation of replication factories in rotaviruses.",34524703,"10.15252/embj.2021107711","The EMBO journal","Department of Chemistry, Ludwig-Maximilians-Universität München, Munich, Germany","0","M"
"68","Alexander","","","Brandis",9,"Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.",34644530,"10.1016/j.cell.2021.09.031","Cell","Life Sciences Core Facilities, Weizmann Institute of Science, Rehovot 7670001, Israel","8","M"
"69","Alexander","","","Bukreyev",16,"Pan-ebolavirus protective therapy by two multifunctional human antibodies.",34715022,"10.1016/j.cell.2021.09.035","Cell","Galveston National Laboratory, Galveston, TX 77550, USA","0","M"
"70","Alexander","","","Hargreaves",32,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Wellcome Centre for Human Genetics, Nuffield Department of Medicine, University of Oxford, Oxford, UK","24","M"
"71","Alexander","","","Harms",2,"Messages from the dead protect bacteria from viral attack.",34957575,"10.15252/embj.2021110382","The EMBO journal","Biozentrum, University of Basel, Basel, Switzerland","0","M"
"72","Alexander","F","A","Keszei",12,"Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.",34644530,"10.1016/j.cell.2021.09.031","Cell","Department of Cell Biology, Harvard Medical School, Boston, MA 02115, USA","8","M"
"73","Alexander","J","","Knights",1,"Acetylcholine-synthesizing macrophages in subcutaneous fat are regulated by β2 -adrenergic signaling.",34459015,"10.15252/embj.2020106061","The EMBO journal","Life Sciences Institute, University of Michigan, Ann Arbor, MI, USA","0","M"
"74","Alexander","S","","Lee",7,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"10.15252/embj.2021108307","The EMBO journal","Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA","0","M"
"75","Alexander","M","","Leipold",19,"SARS-CoV-2 infection triggers profibrotic macrophage responses and lung fibrosis.",34914922,"10.1016/j.cell.2021.11.033","Cell","Helmholtz Institute for RNA-based Infection Research (HIRI), Helmholtz-Center for Infection Research (HZI), Würzburg, Germany","0","M"
"76","Alexander","","","Mazein",3,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0","M"
"77","Alexander","R","","Nicols",15,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Translational and Clinical Research Institute Immunity and Inflammation Theme, Newcastle University, Newcastle, UK","24","M"
"78","Alexander","R","","Pico",126,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0","M"
"79","Alexander","","","Rouvinski",8,"The epitope arrangement on flavivirus particles contributes to Mab C10's extraordinary neutralization breadth across Zika and dengue viruses.",34852239,"10.1016/j.cell.2021.11.010","Cell","Institut Pasteur, Université de Paris, CNRS UMR3569, Unité de Virologie Structurale, 75015 Paris, France","1","M"
"80","Alexander","","","Uhrig",38,"SARS-CoV-2 infection triggers profibrotic macrophage responses and lung fibrosis.",34914922,"10.1016/j.cell.2021.11.033","Cell","Charité - Universitätsmedizin Berlin, Department of Infectious Diseases and Respiratory Medicine, Charité, Universitätsmedizin Berlin, Berlin, Germany","0","M"
"81","Alexander","J","","Weitzel",2,"Applications of and considerations for using CRISPR-Cas9-mediated gene conversion systems in rodents.",34949863,"10.1038/s41596-021-00646-7","Nature protocols","Division of Biological Sciences, Section of Cell and Developmental Biology, University of California San Diego, La Jolla, CA, USA","0","M"
"82","Alexander","B","","Willis",3,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"10.15252/embj.2021108307","The EMBO journal","Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA","0","M"
"83","Alexandra","S","","Deeks",43,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Peter Medawar Building for Pathogen Research, Nuffield Department of Clinical Medicine, University of Oxford, Oxford, UK","24","F"
"84","Alexandra","R","","Magee",12,"Mechanoreceptor synapses in the brainstem shape the central representation of touch.",34637701,"10.1016/j.cell.2021.09.023","Cell","Department of Neurobiology, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA","0","F"
"85","Alexandra","","","Michurina",1,"Postnatal expression of the lysine methyltransferase SETD1B is essential for learning and the regulation of neuron-enriched genes.",34806773,"10.15252/embj.2020106459","The EMBO journal","Department for Systems Medicine and Epigenetics, German Center for Neurodegenerative Diseases (DZNE), Göttingen, Germany","0","F"
"86","Alexandra","","","Podhornik",19,"DNA hypomethylation leads to cGAS-induced autoinflammation in the epidermis.",34586646,"10.15252/embj.2021108234","The EMBO journal","Division of Cell and Developmental Biology, Center for Anatomy and Cell Biology, Medical University of Vienna, Vienna, Austria","0","F"
"87","Alexandra","","","Schnell",1,"Stem-like intestinal Th17 cells give rise to pathogenic effector T cells during autoimmunity.",34875227,"10.1016/j.cell.2021.11.018","Cell","Evergrande Center for Immunologic Diseases, Harvard Medical School and Brigham and Women's Hospital, Boston, MA 02115, USA","0","F"
"88","Alexandra","","","Taraboletti",10,"Unrealized potential from smaller institutions: Four strategies for advancing STEM diversity.",34822781,"10.1016/j.cell.2021.10.030","Cell","Chemistry Department, University of the District of Columbia, Washington, D.C. 20008, USA","0","F"
"89","Alexandre","","","Boissonnas",35,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"10.1016/j.cell.2021.12.004","Cell","Sorbonne Université, INSERM, CNRS, Centre d'Immunologie et des Maladies Infectieuses-CIMI, Paris, France","0","M"
"90","Alex","","","Groisman",4,"Coupling traction force patterns and actomyosin wave dynamics reveals mechanics of cell motion.",34898015,"10.15252/msb.202110505","Molecular systems biology","Department of Physics, University of California, San Diego, La Jolla, CA, USA","0","M"
"91","Alexis","J","","Combes",1,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"10.1016/j.cell.2021.12.004","Cell","Department of Pathology, University of California, San Francisco, San Francisco, CA 94143, USA","0",""
"92","Alexis","","","Harun",14,"Autism-related dietary preferences mediate autism-gut microbiome associations.",34767757,"10.1016/j.cell.2021.10.015","Cell","Telethon Kids Institute, The University of Western Australia, Nedlands, Western Australia 6009, Australia","0",""
"93","Alex","M","","Jaeger",21,"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer.",34890551,"10.1016/j.cell.2021.11.017","Cell","Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA","0","M"
"94","Alex","","","Richter",53,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Institute of Immunology and Immunotherapy, College of Medical and Dental Science, University of Birmingham, Birmingham, UK","24","M"
"95","Alex","K","","Shalek",47,"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer.",34890551,"10.1016/j.cell.2021.11.017","Cell","Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA","0","M"
"96","Alf","Håkon","","Lystad",12,"Mammalian hybrid pre-autophagosomal structure HyPAS generates autophagosomes.",34741801,"10.1016/j.cell.2021.10.017","Cell","Faculty of Medicine, University of Oslo, Oslo, Norway","0","M"
"97","Alfonso","","","Valencia",134,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0","M"
"98","Ali","","","Amini",18,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Oxford University Hospitals NHS Foundation Trust, Oxford, UK","24","M"
"99","Ali","H","","Brivanlou",3,"Mechanical regulation of early vertebrate embryogenesis.",34754086,"10.1038/s41580-021-00424-z","Nature reviews. Molecular cell biology","Laboratory of Synthetic Embryology, The Rockefeller University, New York, NY, USA. brvnlou@rockefeller","0","M"
"100","Alice","","","Bongers",10,"SARS-CoV-2 Alpha, Beta, and Delta variants display enhanced Spike-mediated syncytia formation.",34601723,"10.15252/embj.2021108944","The EMBO journal","Virus &amp","0","F"
"101","Alice","","","Bridges-Webb",21,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Oxford Vaccine Group, Department of Paediatrics, University of Oxford, Oxford, UK","24","F"
"102","Ali","","","Jazayeri",43,"From structure to clinic: Design of a muscarinic M1 receptor agonist with potential to treatment of Alzheimer's disease.",34822784,"10.1016/j.cell.2021.11.001","Cell","Sosei-Heptares, Steinmetz Building, Granta Park, Cambridge, CB21 6DG, UK","0","M"
"103","Ali","","","Khateb",1,"Lipid metabolism: new twists to the Yin and Yang of PKM2 in cancer.",34642948,"10.15252/embj.2021109683","The EMBO journal","Cancer Center, Sanford Burnham Prebys Medical Discovery Institute, La Jolla, CA, USA","0","M"
"104","Alina","","","Bollhagen",7,"Stem-like intestinal Th17 cells give rise to pathogenic effector T cells during autoimmunity.",34875227,"10.1016/j.cell.2021.11.018","Cell","Evergrande Center for Immunologic Diseases, Harvard Medical School and Brigham and Women's Hospital, Boston, MA 02115, USA","0","F"
"105","Alina","","","Renz",31,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"10.15252/msb.202110851","Molecular systems biology","","0","F"
"106","Aline","","","Linder",23,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"10.1016/j.cell.2021.10.011","Cell","Oxford Vaccine Group, Department of Paediatrics, University of Oxford, Oxford, UK","24","F"
"107","Ali","","","Shilatifard",16,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"10.15252/embj.2021108307","The EMBO journal","Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA","0","M"
"108","Alison","R","","Gosliga",5,"Exon-independent recruitment of SRSF1 is mediated by U1 snRNP stem-loop 3.",34779515,"10.15252/embj.2021107640","The EMBO journal","Leicester Institute of Structural &amp","0","F"
"109","Allana","","","Schooley",6,"The nucleoporin Nup50 activates the Ran guanine nucleotide exchange factor RCC1 to promote NPC assembly at the end of mitosis.",34725842,"10.15252/embj.2021108788","The EMBO journal","Friedrich Miescher Laboratory of the Max Planck Society, Tübingen, Germany","1","F"
"110","Allan","F","","McRae",38,"Autism-related dietary preferences mediate autism-gut microbiome associations.",34767757,"10.1016/j.cell.2021.10.015","Cell","Institute for Molecular Bioscience, The University of Queensland, St Lucia, Queensland 4072, Australia","0","M"
"111","Allen","","","Wang",10,"A single-cell atlas of chromatin accessibility in the human genome.",34774128,"10.1016/j.cell.2021.10.024","Cell","Center for Epigenomics, University of California San Diego, La Jolla, CA, USA","0","M"
"112","Allison","","","Gaudinier",7,"A genome-scale TF-DNA interaction network of transcriptional regulation of Arabidopsis primary and specialized metabolism.",34816587,"10.15252/msb.202110625","Molecular systems biology","Department of Plant Biology and Genome Center, University of California, Davis, Davis, CA, USA","0","F"
"113","Almut","","","Luetge",23,"Deciphering osteoarthritis genetics across 826,690 individuals from 9 populations.",34822786,"10.1016/j.cell.2021.11.003","Cell","","0","F"
"114","Alpaslan","","","Tasdogan",2,"Stable isotope tracing to assess tumor metabolism in vivo.",34535790,"10.1038/s41596-021-00605-2","Nature protocols","Children's Research Institute and Department of Pediatrics, University of Texas Southwestern Medical Center, Dallas, TX, USA","0","M"
"115","Altea","","","Targa",1,"Non-genetic and genetic rewiring underlie adaptation to hypomorphic alleles of an essential gene.",34528284,"10.15252/embj.2021107839","The EMBO journal","Institute of Medical Biology (IMB), Agency for Science, Technology and Research (A*STAR), Singapore, Singapore","0","F"
"116","Alvaro","","","Glavic",11,"BAX inhibitor-1 regulates autophagy by controlling the IRE1α branch of the unfolded protein response.",34726286,"10.15252/embj.2021109149","The EMBO journal","","0","M"
