FirstName,LastName,Order,PMID,DOI,Journal,Field,CitationCount,Gender,Date.Received,Date.Published,Title,Address
Michael,Pablo,3,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
J,Herron,4,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Ana,Nogueira,5,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,F,21-Sep-21,21-Sep-21,NA,NA
Onur,Dagliyan,6,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Jonathan,Grimm,7,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Luke,Lavis,8,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Timothy,Elston,9,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Klaus,Hahn,10,34637702,10.1016/j.cell.2021.09.026,Cell,Biology,0,M,21-Sep-21,21-Sep-21,NA,NA
Jincai,Shi,1,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Boyu,Zhao,2,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Shuang,Zheng,3,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,F,16-Jan-21,12-Oct-21,NA,NA
Xiaowei,Zhang,4,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Xiaolin,Wang,5,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,F,16-Jan-21,12-Oct-21,NA,NA
Wentao,Dong,6,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Qiujin,Xie,7,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,F,16-Jan-21,12-Oct-21,NA,NA
Gang,Wang,8,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Yunping,Xiao,9,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Fan,Chen,10,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,F,16-Jan-21,12-Oct-21,NA,NA
Nan,Yu,11,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,F,16-Jan-21,12-Oct-21,NA,NA
Ertao,Wang,12,34644527,10.1016/j.cell.2021.09.030,Cell,Biology,0,M,16-Jan-21,12-Oct-21,NA,NA
Nitzan,Tal,1,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Benjamin,Morehouse,2,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Adi,Millman,3,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,F,30-Jun-21,12-Oct-21,NA,NA
Avigail,Stokar-Avihail,4,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,F,30-Jun-21,12-Oct-21,NA,NA
Carmel,Avraham,5,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,F,30-Jun-21,12-Oct-21,NA,NA
Taya,Fedorenko,6,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,F,30-Jun-21,12-Oct-21,NA,NA
Erez,Yirmiya,7,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Ehud,Herbst,8,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Alexander,Brandis,9,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Tevie,Mehlman,10,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Yaara,Oppenheimer-Shaanan,11,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,F,30-Jun-21,12-Oct-21,NA,NA
Alexander,Keszei,12,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Sichen,Shao,13,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Gil,Amitai,14,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Philip,Kranzusch,15,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Rotem,Sorek,16,34644530,10.1016/j.cell.2021.09.031,Cell,Biology,8,M,30-Jun-21,12-Oct-21,NA,NA
Chen,Shen,1,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Runzhi,Li,2,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Roberto,Negro,3,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Jiewei,Cheng,4,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Setu,Vora,5,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Tian-Min,Fu,6,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Anmin,Wang,7,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Kaixin,He,8,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,F,NA,12-Oct-21,NA,NA
Liudmila,Andreeva,9,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,F,NA,12-Oct-21,NA,NA
Pu,Gao,10,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Zhigang,Tian,11,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Richard,Flavell,12,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Shu,Zhu,13,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,F,NA,12-Oct-21,NA,NA
Hao,Wu,14,34678144,10.1016/j.cell.2021.09.032,Cell,Biology,0,M,NA,12-Oct-21,NA,NA
Luis,Cruz-Zaragoza,1,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Sven,Dennerlein,2,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Andreas,Linden,3,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Roya,Yousefi,4,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,F,NA,20-Oct-21,NA,NA
Elena,Lavdovskaia,5,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,F,NA,20-Oct-21,NA,NA
Abhishek,Aich,6,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Rebecca,Falk,7,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,F,NA,20-Oct-21,NA,NA
Ridhima,Gomkale,8,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,F,NA,20-Oct-21,NA,NA
Thomas,Schöndorf,9,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Markus,Bohnsack,10,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Ricarda,Richter-Dennerlein,11,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,F,NA,20-Oct-21,NA,NA
Henning,Urlaub,12,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Peter,Rehling,13,34672953,10.1016/j.cell.2021.09.033,Cell,Biology,3,M,NA,20-Oct-21,NA,NA
Karl,Miller,1,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Stella,Victorelli,2,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Hanna,Salmonowicz,3,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Nirmalya,Dasgupta,4,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Tianhui,Liu,5,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
João,Passos,6,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Peter,Adams,7,34715021,10.1016/j.cell.2021.09.034,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Pavlo,Gilchuk,1,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Charles,Murin,2,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Robert,Cross,3,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Philipp,Ilinykh,4,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Kai,Huang,5,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Natalia,Kuzmina,6,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,F,6-Apr-21,28-Oct-21,NA,NA
Viktoriya,Borisevich,7,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,F,6-Apr-21,28-Oct-21,NA,NA
Krystle,Agans,8,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,F,6-Apr-21,28-Oct-21,NA,NA
Joan,Geisbert,9,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,F,6-Apr-21,28-Oct-21,NA,NA
Seth,Zost,10,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Rachel,Nargi,11,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,F,6-Apr-21,28-Oct-21,NA,NA
Rachel,Sutton,12,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,F,6-Apr-21,28-Oct-21,NA,NA
Naveenchandra,Suryadevara,13,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Robin,Bombardi,14,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Robert,Carnahan,15,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Alexander,Bukreyev,16,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Thomas,Geisbert,17,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Andrew,Ward,18,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
James,Crowe,19,34715022,10.1016/j.cell.2021.09.035,Cell,Biology,0,M,6-Apr-21,28-Oct-21,NA,NA
Anna,Schroeder,1,34715019,10.1016/j.cell.2021.09.036,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Johannes,Letzkus,2,34715019,10.1016/j.cell.2021.09.036,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Qingxu,Liu,1,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Jiaxin,Li,2,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Weiji,Zhang,3,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Chen,Xiao,4,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Shihao,Zhang,5,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Cheng,Nian,6,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Junhong,Li,7,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Dongxue,Su,8,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Lihong,Chen,9,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Qian,Zhao,10,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Hui,Shao,11,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Hao,Zhao,12,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Qinghua,Chen,13,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Yuxi,Li,14,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Jing,Geng,15,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Lixin,Hong,16,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Shuhai,Lin,17,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Qiao,Wu,18,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Xianming,Deng,19,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Rongqin,Ke,20,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Jin,Ding,21,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Randy,Johnson,22,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Xiaolong,Liu,23,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Lanfen,Chen,24,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,F,NA,28-Oct-21,NA,NA
Dawang,Zhou,25,34678143,10.1016/j.cell.2021.10.001,Cell,Biology,0,M,NA,28-Oct-21,NA,NA
Jeffrey,Hussmann,1,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,M,6-Jun-21,28-Oct-21,NA,NA
Jia,Ling,2,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,F,6-Jun-21,28-Oct-21,NA,NA
Purnima,Ravisankar,3,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,F,6-Jun-21,28-Oct-21,NA,NA
Jun,Yan,4,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,M,6-Jun-21,28-Oct-21,NA,NA
Ann,Cirincione,5,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,F,6-Jun-21,28-Oct-21,NA,NA
Albert,Xu,6,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,M,6-Jun-21,28-Oct-21,NA,NA
Danny,Simpson,7,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,M,6-Jun-21,28-Oct-21,NA,NA
Dian,Yang,8,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,F,6-Jun-21,28-Oct-21,NA,NA
Anne,Bothmer,9,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,F,6-Jun-21,28-Oct-21,NA,NA
Cecilia,Cotta-Ramusino,10,34672952,10.1016/j.cell.2021.10.002,Cell,Biology,0,F,6-Jun-21,28-Oct-21,NA,NA
