"","ForeName","X","DOI","Middle1","Middle2","LastName","Order","Title","PMID","Journal","Address","CitationCount","proportion_male","proportion_female","gender","year_min","year_max"
"27","Adrienne",1303,"10.1016/j.cell.2021.12.002","","","Goode",29,"Protection from SARS-CoV-2 Delta one year after mRNA-1273 vaccination in rhesus macaques coincides with anamnestic antibody response in the lung.",34921774,"Cell","Bioqual, Inc., Rockville, MD 20850, USA",6,0.0055,0.9945,"female",1932,2012
"28","Adrienne",3,"10.1016/j.cell.2021.09.013","C","","Philson",5,"Bombesin-like peptide recruits disinhibitory cortical circuits and enhances fear memories.",34610277,"Cell","Department of Neurobiology, Howard Hughes Medical Institute, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",4,0.0055,0.9945,"female",1932,2012
"29","Adwoa",262,"10.1016/j.cell.2021.10.009","","","Sefah",9,"GABA-receptive microglia selectively sculpt developing inhibitory circuits.",34715023,"Cell","",1,0,1,"female",1932,2012
"30","Afshin",850,"10.1016/j.cell.2021.11.008","","","Beheshti",38,"Fundamental Biological Features of Spaceflight: Advancing the Field to Enable Deep-Space Exploration.",34822785,"Cell","",0,1,0,"male",1932,2012
"31","Agata",2251,"10.15252/embj.2021108287","A","","Bielecka",7,"A versatile genetic toolbox for Prevotella copri enables studying polysaccharide utilization systems.",34676563,"The EMBO journal","Department of Microbial Immune Regulation, Helmholtz Centre for Infection Research, Braunschweig, Germany",1,0,1,"female",1932,2012
"32","Agatha",2767,"10.15252/msb.202110851","","","Treveil",109,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"Molecular systems biology","",0,0,1,"female",1932,2012
"33","Agnieszka",1863,"10.15252/embj.2020105862","","","Piszczek",7,"RIF1 and KAP1 differentially regulate the choice of inactive versus active X chromosomes.",34786738,"The EMBO journal","Epigenetics &amp",1,0,1,"female",1932,2012
"34","Agnieszka",579,"10.1016/j.cell.2021.10.025","","","Lukaszewicz",1,"De novo deletions and duplications at recombination hotspots in mouse germlines.",34793701,"Cell","Developmental Biology Program, Memorial Sloan Kettering Cancer Center, New York, NY 10065, USA",0,0,1,"female",1932,2012
"35","Ahmed",882,"10.1016/j.cell.2021.11.010","","","Haouz",11,"The epitope arrangement on flavivirus particles contributes to Mab C10's extraordinary neutralization breadth across Zika and dengue viruses.",34852239,"Cell","Institut Pasteur, Université de Paris, CNRS UMR 3528, Center for Technological Resources and Research, 75015 Paris, France",1,1,0,"male",1932,2012
"36","Ahmed",1956,"10.15252/embj.2020107264","","","El-Sehemy",11,"Photoreceptor nanotubes mediate the in vivo exchange of intracellular material.",34494680,"The EMBO journal","Donald K. Johnson Eye Institute, Krembil Research Institute, University Health Network, Toronto, ON, Canada",3,1,0,"male",1932,2012
"37","Aida",2250,"10.15252/embj.2021108287","","","Iljazovic",5,"A versatile genetic toolbox for Prevotella copri enables studying polysaccharide utilization systems.",34676563,"The EMBO journal","Department of Microbial Immune Regulation, Helmholtz Centre for Infection Research, Braunschweig, Germany",1,5e-04,0.9995,"female",1932,2012
"38","Aishwarya",271,"10.1016/j.cell.2021.10.010","","","Devaraj",2,"Z-form extracellular DNA is a structural component of the bacterial biofilm matrix.",34735796,"Cell","Center for Microbial Pathogenesis, Abigail Wexner Research Institute at Nationwide Children's Hospital, Columbus, OH 43205, USA",2,0,1,"female",1932,2012
"39","Aiwei",2489,"10.15252/embj.2021108883","","","Zeng",3,"CRYPTOCHROMES promote daily protein homeostasis.",34842284,"The EMBO journal","MRC Laboratory of Molecular Biology, Cambridge, UK",0,NA,NA,NA,NA,NA
"40","Akankshi",1083,"10.1016/j.cell.2021.11.025","","","Munjal",1,"Extracellular hyaluronate pressure shaped by cellular tethers drives tissue morphogenesis.",34942099,"Cell","Department of Systems Biology, Harvard Medical School, Boston, MA 02115, USA. Electronic address: akankshi.munjal@duke",0,NA,NA,NA,NA,NA
"41","Akhona",668,"10.1016/j.cell.2021.10.031","","","Tshangela",17,"Infodemics: A new challenge for public health.",34890548,"Cell","Africa Centers for Disease Control and Prevention, African Union Headquarters, Addis Ababa, Ethiopia",1,NA,NA,NA,NA,NA
"42","Akihito",2629,"10.15252/msb.202110323","","","Harada",3,"Modeling population size independent tissue epigenomes by ChIL-seq with single thin sections.",34730297,"Molecular systems biology","Division of Transcriptomics, Medical Institute of Bioregulation, Kyushu University, Fukuoka, Japan",0,NA,NA,NA,NA,NA
"43","Akio",1986,"10.15252/embj.2020107485","","","Masuda",2,"Regulated splicing of large exons is linked to phase-separation of vertebrate transcription factors.",34605568,"The EMBO journal","Division of Neurogenetics, Center for Neurological Diseases and Cancer, Nagoya University Graduate School of Medicine, Nagoya, Japan",0,1,0,"male",1932,2012
"44","Akira",2706,"10.15252/msb.202110851","","","Funahashi",26,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"Molecular systems biology","",0,0.166,0.834,"female",1932,2012
"45","Akshay",1959,"10.15252/embj.2020107264","","","Gurdita",5,"Photoreceptor nanotubes mediate the in vivo exchange of intracellular material.",34494680,"The EMBO journal","Donald K. Johnson Eye Institute, Krembil Research Institute, University Health Network, Toronto, ON, Canada",3,1,0,"male",1932,2012
"46","Alain",1453,"10.1038/s41580-021-00428-9","","","Puisieux",33,"Author Correction: Guidelines and definitions for research on epithelial-mesenchymal transition.",34654908,"Nature reviews. Molecular cell biology","Université Claude Bernard Lyon 1, INSERM 1052, CNRS 5286, Centre Léon Bérard, Cancer Research Center of Lyon, Lyon, France",0,0.9981,0.0019,"male",1932,2012
"47","Alan",959,"10.1016/j.cell.2021.11.017","","","DenAdel",5,"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer.",34890551,"Cell","Center for Computational Molecular Biology, Brown University, Providence, RI 02912, USA",0,0.9968,0.0032,"male",1932,2012
"48","Alan",1363,"10.1016/j.cell.2021.12.004","","","Shen",8,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"Cell","Department of Pathology, University of California, San Francisco, San Francisco, CA 94143, USA",0,0.9968,0.0032,"male",1932,2012
"49","Alan",244,"10.1016/j.cell.2021.10.007","","","Brown",17,"De novo identification of mammalian ciliary motility proteins using cryo-EM.",34715025,"Cell","Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA 02115, USA. Electronic address: alan_brown@hms.harvard",4,0.9968,0.0032,"male",1932,2012
"50","Alan",1908,"10.15252/embj.2020106523","","","Kadek",3,"Caldendrin and myosin V regulate synaptic spine apparatus localization via ER stabilization in dendritic spines.",34935159,"The EMBO journal","Leibniz Institute for Experimental Virology (HPI), Hamburg, Germany",0,0.9968,0.0032,"male",1932,2012
"51","Alan",1534,"10.1038/s41596-021-00593-3","R","","Pacheco",7,"A metabolic modeling platform for the computation of microbial ecosystems in time and space (COMETS).",34635859,"Nature protocols","Bioinformatics Program, Boston University, Boston, MA, USA",0,0.9968,0.0032,"male",1932,2012
"52","Alan",70,"10.1016/j.cell.2021.09.023","J","","Emanuel",4,"Mechanoreceptor synapses in the brainstem shape the central representation of touch.",34637701,"Cell","Department of Neurobiology, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",0,0.9968,0.0032,"male",1932,2012
"53","Alan",1309,"10.1016/j.cell.2021.12.002","","","Dodson",23,"Protection from SARS-CoV-2 Delta one year after mRNA-1273 vaccination in rhesus macaques coincides with anamnestic antibody response in the lung.",34921774,"Cell","Bioqual, Inc., Rockville, MD 20850, USA",6,0.9968,0.0032,"male",1932,2012
"54","Alan",1191,"10.1016/j.cell.2021.11.031","J","","Simmons",4,"Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps.",34910928,"Cell","Epithelial Biology Center, Vanderbilt University Medical Center, Nashville, TN, USA",0,0.9968,0.0032,"male",1932,2012
"55","Alastair",710,"10.1016/j.cell.2021.11.001","J","H","Brown",1,"From structure to clinic: Design of a muscarinic M1 receptor agonist with potential to treatment of Alzheimer's disease.",34822784,"Cell","Sosei-Heptares, Steinmetz Building, Granta Park, Cambridge, CB21 6DG, UK",0,1,0,"male",1932,2012
"56","Alban",2473,"10.15252/embj.2021108823","","","Ordureau",8,"Functional conservation and divergence of the helix-turn-helix motif of E2 ubiquitin-conjugating enzymes.",34942047,"The EMBO journal","Department of Cell Biology, Blavatnik Institute of Harvard Medical School, Boston, MA, USA",0,1,0,"male",1932,2012
"57","Albert",1627,"10.1038/s41596-021-00618-x","","","Serra-Cardona",3,"Author Correction: Efficient and strand-specific profiling of replicating chromatin with enrichment and sequencing of protein-associated nascent DNA in mammalian cells.",34493873,"Nature protocols","Institute for Cancer Genetics, Columbia University Irving Medical Center, New York, NY, USA",0,0.9944,0.0056,"male",1932,2012
"58","Albert",213,"10.1016/j.cell.2021.10.002","","","Xu",6,"Mapping the genetic landscape of DNA double-strand break repair.",34672952,"Cell","Department of Cellular and Molecular Pharmacology, University of California, San Francisco, San Francisco, CA 94158, USA",0,0.9944,0.0056,"male",1932,2012
"59","Alberto",2806,"10.15252/msb.202110851","","","Valdeolivas",102,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"Molecular systems biology","",0,0.9927,0.0073,"male",1932,2012
"60","Alberto",657,"10.1016/j.cell.2021.10.031","Eugenio","","Tozzi",8,"Infodemics: A new challenge for public health.",34890548,"Cell","Multifactorial and Complex Diseases research Area, Bambino Gesù Children's Hospital, Rome, Italy",1,0.9927,0.0073,"male",1932,2012
"61","Alejandro",2009,"10.15252/embj.2020107568","","","Mata-Cabana",10,"The cellular modifier MOAG-4/SERF drives amyloid formation through charge complementation.",34617299,"The EMBO journal","European Research Institute for the Biology of Ageing, University of Groningen, University Medical Centre Groningen, Groningen, The Netherlands",0,0.9925,0.0075,"male",1932,2012
"62","Aleksandra",1608,"10.1038/s41596-021-00616-z","A","","Petelski",1,"Multiplexed single-cell proteomics using SCoPE2.",34716448,"Nature protocols","Department of Bioengineering, Northeastern University, Boston, MA, USA",0,0,1,"female",1932,2012
"63","Aleksandra",1776,"10.15252/embj.2019103718","","","Bankovacki",5,"Oligomerization-driven MLKL ubiquitylation antagonizes necroptosis.",34698396,"The EMBO journal","The Walter and Eliza Hall Institute of Medical Research, Parkville, VIC, Australia",0,0,1,"female",1932,2012
"64","Alessandra",2493,"10.15252/embj.2021108883","","","Stangherlin",4,"CRYPTOCHROMES promote daily protein homeostasis.",34842284,"The EMBO journal","MRC Laboratory of Molecular Biology, Cambridge, UK",0,0,1,"female",1932,2012
"65","Alessandro",1817,"10.15252/embj.2020105026","","","Provenzani",18,"C9orf72 ALS/FTD dipeptide repeat protein levels are reduced by small molecules that inhibit PKA or enhance protein degradation.",34791698,"The EMBO journal","Department of Cellular, Computational and Integrative Biology, University of Trento, Trento, Italy",0,1,0,"male",1932,2012
"66","Alessandro",1815,"10.15252/embj.2020105026","","","Quattrone",15,"C9orf72 ALS/FTD dipeptide repeat protein levels are reduced by small molecules that inhibit PKA or enhance protein degradation.",34791698,"The EMBO journal","Department of Cellular, Computational and Integrative Biology, University of Trento, Trento, Italy",0,1,0,"male",1932,2012
"67","Alessandro",2117,"10.15252/embj.2021108008","","","Potenza",6,"The CRL4DCAF1 cullin-RING ubiquitin ligase is activated following a switch in oligomerization state.",34595758,"The EMBO journal","Friedrich Miescher Institute for Biomedical Research, Basel, Switzerland",0,1,0,"male",1932,2012
"68","Alex",300,"10.1016/j.cell.2021.10.011","","","Richter",53,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"Cell","Institute of Immunology and Immunotherapy, College of Medical and Dental Science, University of Birmingham, Birmingham, UK",24,0.9657,0.0343,"male",1932,2012
"69","Alex",978,"10.1016/j.cell.2021.11.017","M","","Jaeger",21,"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer.",34890551,"Cell","Koch Institute for Integrative Cancer Research, Massachusetts Institute of Technology, Cambridge, MA 02139, USA",0,0.9657,0.0343,"male",1932,2012
"70","Alex",973,"10.1016/j.cell.2021.11.017","K","","Shalek",47,"Microenvironment drives cell state, plasticity, and drug response in pancreatic cancer.",34890551,"Cell","Broad Institute of MIT and Harvard, Cambridge, MA 02142, USA",0,0.9657,0.0343,"male",1932,2012
"71","Alex",2668,"10.15252/msb.202110505","","","Groisman",4,"Coupling traction force patterns and actomyosin wave dynamics reveals mechanics of cell motion.",34898015,"Molecular systems biology","Department of Physics, University of California, San Diego, La Jolla, CA, USA",0,0.9657,0.0343,"male",1932,2012
"72","Alexander",2265,"10.15252/embj.2021108307","B","","Willis",3,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"The EMBO journal","Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA",0,0.9921,0.0079,"male",1932,2012
"73","Alexander",1763,"10.1038/s41596-021-00646-7","J","","Weitzel",2,"Applications of and considerations for using CRISPR-Cas9-mediated gene conversion systems in rodents.",34949863,"Nature protocols","Division of Biological Sciences, Section of Cell and Developmental Biology, University of California San Diego, La Jolla, CA, USA",0,0.9921,0.0079,"male",1932,2012
"74","Alexander",1869,"10.15252/embj.2020106061","J","","Knights",1,"Acetylcholine-synthesizing macrophages in subcutaneous fat are regulated by β2 -adrenergic signaling.",34459015,"The EMBO journal","Life Sciences Institute, University of Michigan, Ann Arbor, MI, USA",0,0.9921,0.0079,"male",1932,2012
"75","Alexander",878,"10.1016/j.cell.2021.11.010","","","Rouvinski",8,"The epitope arrangement on flavivirus particles contributes to Mab C10's extraordinary neutralization breadth across Zika and dengue viruses.",34852239,"Cell","Institut Pasteur, Université de Paris, CNRS UMR3569, Unité de Virologie Structurale, 75015 Paris, France",1,0.9921,0.0079,"male",1932,2012
"76","Alexander",293,"10.1016/j.cell.2021.10.011","R","","Nicols",15,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"Cell","Translational and Clinical Research Institute Immunity and Inflammation Theme, Newcastle University, Newcastle, UK",24,0.9921,0.0079,"male",1932,2012
"77","Alexander",2040,"10.15252/embj.2021107711","","","Borodavka",16,"Liquid-liquid phase separation underpins the formation of replication factories in rotaviruses.",34524703,"The EMBO journal","Department of Chemistry, Ludwig-Maximilians-Universität München, Munich, Germany",0,0.9921,0.0079,"male",1932,2012
"78","Alexander",1217,"10.1016/j.cell.2021.11.033","","","Uhrig",38,"SARS-CoV-2 infection triggers profibrotic macrophage responses and lung fibrosis.",34914922,"Cell","Charité - Universitätsmedizin Berlin, Department of Infectious Diseases and Respiratory Medicine, Charité, Universitätsmedizin Berlin, Berlin, Germany",0,0.9921,0.0079,"male",1932,2012
"79","Alexander",174,"10.1016/j.cell.2021.09.035","","","Bukreyev",16,"Pan-ebolavirus protective therapy by two multifunctional human antibodies.",34715022,"Cell","Galveston National Laboratory, Galveston, TX 77550, USA",0,0.9921,0.0079,"male",1932,2012
"80","Alexander",2617,"10.15252/embj.2021110382","","","Harms",2,"Messages from the dead protect bacteria from viral attack.",34957575,"The EMBO journal","Biozentrum, University of Basel, Basel, Switzerland",0,0.9921,0.0079,"male",1932,2012
"81","Alexander",1265,"10.1016/j.cell.2021.11.033","M","","Leipold",19,"SARS-CoV-2 infection triggers profibrotic macrophage responses and lung fibrosis.",34914922,"Cell","Helmholtz Institute for RNA-based Infection Research (HIRI), Helmholtz-Center for Infection Research (HZI), Würzburg, Germany",0,0.9921,0.0079,"male",1932,2012
"82","Alexander",2718,"10.15252/msb.202110851","","","Mazein",3,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"Molecular systems biology","",0,0.9921,0.0079,"male",1932,2012
"83","Alexander",314,"10.1016/j.cell.2021.10.011","","","Hargreaves",32,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"Cell","Wellcome Centre for Human Genetics, Nuffield Department of Medicine, University of Oxford, Oxford, UK",24,0.9921,0.0079,"male",1932,2012
"84","Alexander",2263,"10.15252/embj.2021108307","S","","Lee",7,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"The EMBO journal","Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA",0,0.9921,0.0079,"male",1932,2012
"85","Alexander",120,"10.1016/j.cell.2021.09.031","","","Brandis",9,"Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.",34644530,"Cell","Life Sciences Core Facilities, Weizmann Institute of Science, Rehovot 7670001, Israel",8,0.9921,0.0079,"male",1932,2012
"86","Alexander",2711,"10.15252/msb.202110851","R","","Pico",126,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"Molecular systems biology","",0,0.9921,0.0079,"male",1932,2012
"87","Alexander",121,"10.1016/j.cell.2021.09.031","F","A","Keszei",12,"Cyclic CMP and cyclic UMP mediate bacterial immunity against phages.",34644530,"Cell","Department of Cell Biology, Harvard Medical School, Boston, MA 02115, USA",8,0.9921,0.0079,"male",1932,2012
"88","Alexandra",2230,"10.15252/embj.2021108234","","","Podhornik",19,"DNA hypomethylation leads to cGAS-induced autoinflammation in the epidermis.",34586646,"The EMBO journal","Division of Cell and Developmental Biology, Center for Anatomy and Cell Biology, Medical University of Vienna, Vienna, Austria",0,0.0037,0.9963,"female",1932,2012
"89","Alexandra",1887,"10.15252/embj.2020106459","","","Michurina",1,"Postnatal expression of the lysine methyltransferase SETD1B is essential for learning and the regulation of neuron-enriched genes.",34806773,"The EMBO journal","Department for Systems Medicine and Epigenetics, German Center for Neurodegenerative Diseases (DZNE), Göttingen, Germany",0,0.0037,0.9963,"female",1932,2012
"90","Alexandra",333,"10.1016/j.cell.2021.10.011","S","","Deeks",43,"Immunogenicity of standard and extended dosing intervals of BNT162b2 mRNA vaccine.",34735795,"Cell","Peter Medawar Building for Pathogen Research, Nuffield Department of Clinical Medicine, University of Oxford, Oxford, UK",24,0.0037,0.9963,"female",1932,2012
"91","Alexandra",1002,"10.1016/j.cell.2021.11.018","","","Schnell",1,"Stem-like intestinal Th17 cells give rise to pathogenic effector T cells during autoimmunity.",34875227,"Cell","Evergrande Center for Immunologic Diseases, Harvard Medical School and Brigham and Women's Hospital, Boston, MA 02115, USA",0,0.0037,0.9963,"female",1932,2012
"92","Alexandra",646,"10.1016/j.cell.2021.10.030","","","Taraboletti",10,"Unrealized potential from smaller institutions: Four strategies for advancing STEM diversity.",34822781,"Cell","Chemistry Department, University of the District of Columbia, Washington, D.C. 20008, USA",0,0.0037,0.9963,"female",1932,2012
"93","Alexandra",73,"10.1016/j.cell.2021.09.023","R","","Magee",12,"Mechanoreceptor synapses in the brainstem shape the central representation of touch.",34637701,"Cell","Department of Neurobiology, Harvard Medical School, 220 Longwood Avenue, Boston, MA 02115, USA",0,0.0037,0.9963,"female",1932,2012
"94","Alexandre",1369,"10.1016/j.cell.2021.12.004","","","Boissonnas",35,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"Cell","Sorbonne Université, INSERM, CNRS, Centre d'Immunologie et des Maladies Infectieuses-CIMI, Paris, France",0,0.9645,0.0355,"male",1932,2012
"95","Alexis",390,"10.1016/j.cell.2021.10.015","","","Harun",14,"Autism-related dietary preferences mediate autism-gut microbiome associations.",34767757,"Cell","Telethon Kids Institute, The University of Western Australia, Nedlands, Western Australia 6009, Australia",0,0.1452,0.8548,"female",1932,2012
"96","Alexis",1348,"10.1016/j.cell.2021.12.004","J","","Combes",1,"Discovering dominant tumor immune archetypes in a pan-cancer census.",34963056,"Cell","Department of Pathology, University of California, San Francisco, San Francisco, CA 94143, USA",0,0.1452,0.8548,"female",1932,2012
"97","Alf",440,"10.1016/j.cell.2021.10.017","Håkon","","Lystad",12,"Mammalian hybrid pre-autophagosomal structure HyPAS generates autophagosomes.",34741801,"Cell","Faculty of Medicine, University of Oslo, Oslo, Norway",0,1,0,"male",1932,2012
"98","Alfonso",2719,"10.15252/msb.202110851","","","Valencia",134,"COVID-19 Disease Map, a computational knowledge repository of virus-host interaction mechanisms.",34939300,"Molecular systems biology","",0,0.997,0.003,"male",1932,2012
"99","Ali",675,"10.1016/j.cell.2021.11.001","","","Jazayeri",43,"From structure to clinic: Design of a muscarinic M1 receptor agonist with potential to treatment of Alzheimer's disease.",34822784,"Cell","Sosei-Heptares, Steinmetz Building, Granta Park, Cambridge, CB21 6DG, UK",0,0.6877,0.3123,"male",1932,2012
"100","Ali",2271,"10.15252/embj.2021108307","","","Shilatifard",16,"UBR7 acts as a histone chaperone for post-nucleosomal histone H3.",34786730,"The EMBO journal","Department of Biochemistry and Molecular Genetics, Northwestern University Feinberg School of Medicine, Chicago, IL, USA",0,0.6877,0.3123,"male",1932,2012
