"","ForeName","Middle1","Middle2","LastName","PMID","Title","DOI","Journal","Address","Unique"
"11","Christopher","H","","Tomkins-Tinch",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Christopher Tomkins-Tinch 35051367"
"12","Jillian","S","","Paull",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Jillian Paull 35051367"
"13","Beau","","","Schaeffer",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Department of Epidemiology, Harvard T.H. Chan School of Public Health, Harvard University, Boston, MA 02115, USA","Beau Schaeffer 35051367"
"14","Bradford","P","","Taylor",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Department of Epidemiology, Harvard T.H. Chan School of Public Health, Harvard University, Boston, MA 02115, USA","Bradford Taylor 35051367"
"15","Bryn","","","Loftness",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Bryn Loftness 35051367"
"16","Hillary","","","Johnson",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Hillary Johnson 35051367"
"17","Petra","L","","Schubert",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Petra Schubert 35051367"
"18","Hanna","M","","Shephard",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Hanna Shephard 35051367"
"19","Matthew","","","Doucette",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Matthew Doucette 35051367"
"20","Timelia","","","Fink",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Timelia Fink 35051367"
"21","Andrew","S","","Lang",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Andrew Lang 35051367"
"22","Stephanie","","","Baez",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Stephanie Baez 35051367"
"23","John","","","Beauchamp",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","John Beauchamp 35051367"
"24","Scott","","","Hennigan",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Scott Hennigan 35051367"
"25","Erika","","","Buzby",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Erika Buzby 35051367"
"26","Stephanie","","","Ash",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Stephanie Ash 35051367"
"27","Jessica","","","Brown",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Jessica Brown 35051367"
"28","Selina","","","Clancy",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Selina Clancy 35051367"
"29","Seana","","","Cofsky",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Seana Cofsky 35051367"
"30","Luc","","","Gagne",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Luc Gagne 35051367"
"31","Joshua","","","Hall",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Joshua Hall 35051367"
"32","Rachel","","","Harrington",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Rachel Harrington 35051367"
"33","Gabrielle","L","","Gionet",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Gabrielle Gionet 35051367"
"34","Katherine","C","","DeRuff",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Katherine DeRuff 35051367"
"35","Megan","E","","Vodzak",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Megan Vodzak 35051367"
"36","Gordon","C","","Adams",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Gordon Adams 35051367"
"37","Sabrina","T","","Dobbins",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Sabrina Dobbins 35051367"
"38","Sarah","D","","Slack",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Sarah Slack 35051367"
"39","Steven","K","","Reilly",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Steven Reilly 35051367"
"40","Lisa","M","","Anderson",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Lisa Anderson 35051367"
"41","Michelle","C","","Cipicchio",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Michelle Cipicchio 35051367"
"42","Matthew","T","","DeFelice",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Matthew DeFelice 35051367"
"43","Jonna","L","","Grimsby",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Jonna Grimsby 35051367"
"44","Scott","E","","Anderson",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Scott Anderson 35051367"
"45","Brendan","S","","Blumenstiel",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Brendan Blumenstiel 35051367"
"46","James","C","","Meldrim",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","James Meldrim 35051367"
"47","Heather","M","","Rooke",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Heather Rooke 35051367"
"48","Gina","","","Vicente",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Gina Vicente 35051367"
"49","Natasha","L","","Smith",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Natasha Smith 35051367"
"50","Katelyn","S","","Messer",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Katelyn Messer 35051367"
"51","Faye","L","","Reagan",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Faye Reagan 35051367"
"52","Zoe","M","","Mandese",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Zoe Mandese 35051367"
"53","Matthew","D","","Lee",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Matthew Lee 35051367"
"54","Marianne","C","","Ray",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Marianne Ray 35051367"
"55","Marissa","E","","Fisher",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Marissa Fisher 35051367"
"56","Maesha","A","","Ulcena",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Maesha Ulcena 35051367"
"57","Corey","M","","Nolet",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Corey Nolet 35051367"
"58","Sean","E","","English",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Sean English 35051367"
"59","Katie","L","","Larkin",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Katie Larkin 35051367"
"60","Kyle","","","Vernest",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Kyle Vernest 35051367"
"61","Sushma","","","Chaluvadi",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Sushma Chaluvadi 35051367"
"62","Deirdre","","","Arvidson",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Barnstable County Department of Health and the Environment, Barnstable, MA 02630, USA","Deirdre Arvidson 35051367"
"63","Maurice","","","Melchiono",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Barnstable County Department of Health and the Environment, Barnstable, MA 02630, USA","Maurice Melchiono 35051367"
"64","Theresa","","","Covell",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Barnstable County Department of Health and the Environment, Barnstable, MA 02630, USA","Theresa Covell 35051367"
"65","Vaira","","","Harik",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Barnstable County Department of Human Services, Barnstable, MA 02630, USA","Vaira Harik 35051367"
"66","Taylor","","","Brock-Fisher",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Community Tracing Collaborative, Commonwealth of Massachusetts, Boston, MA 02199, USA","Taylor Brock-Fisher 35051367"
"67","Molly","","","Dunn",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Community Tracing Collaborative, Commonwealth of Massachusetts, Boston, MA 02199, USA","Molly Dunn 35051367"
"68","Amanda","","","Kearns",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Community Tracing Collaborative, Commonwealth of Massachusetts, Boston, MA 02199, USA","Amanda Kearns 35051367"
"69","William","P","","Hanage",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Department of Epidemiology, Harvard T.H. Chan School of Public Health, Harvard University, Boston, MA 02115, USA","William Hanage 35051367"
"70","Clare","","","Bernard",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Clare Bernard 35051367"
"71","Anthony","","","Philippakis",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Anthony Philippakis 35051367"
"72","Niall","J","","Lennon",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Niall Lennon 35051367"
"73","Stacey","B","","Gabriel",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Stacey Gabriel 35051367"
"74","Glen","R","","Gallagher",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Glen Gallagher 35051367"
"75","Sandra","","","Smole",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Sandra Smole 35051367"
"76","Lawrence","C","","Madoff",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Lawrence Madoff 35051367"
"77","Catherine","M","","Brown",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Massachusetts Department of Public Health, Boston, MA 02199, USA","Catherine Brown 35051367"
"78","Daniel","J","","Park",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Daniel Park 35051367"
"79","Bronwyn","L","","MacInnis",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Bronwyn MacInnis 35051367"
"80","Pardis","C","","Sabeti",35051367,"Transmission from vaccinated individuals in a large SARS-CoV-2 Delta variant outbreak.","10.1016/j.cell.2021.12.027","Cell","Broad Institute of Harvard and MIT, Cambridge, MA 02142, USA","Pardis Sabeti 35051367"
"81","Philipp","","","Georg",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","Philipp Georg 35032429"
"82","Rosario","","","Astaburuaga-García",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Pathology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Rosario Astaburuaga-García 35032429"
"83","Lorenzo","","","Bonaguro",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Genomics and Immunoregulation, Life and Medical Sciences (LIMES) Institute, University of Bonn, Bonn, Germany","Lorenzo Bonaguro 35032429"
"84","Sophia","","","Brumhard",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","Sophia Brumhard 35032429"
"85","Laura","","","Michalick",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Physiology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Laura Michalick 35032429"
"86","Lena","J","","Lippert",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","Lena Lippert 35032429"
"87","Tomislav","","","Kostevc",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Tomislav Kostevc 35032429"
"88","Christiane","","","Gäbel",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Christiane Gäbel 35032429"
"89","Maria","","","Schneider",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Maria Schneider 35032429"
"90","Mathias","","","Streitz",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Mathias Streitz 35032429"
"91","Vadim","","","Demichev",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Molecular Biology of Metabolism Laboratory, The Francis Crick Institute, London, UK","Vadim Demichev 35032429"
"92","Ioanna","","","Gemünd",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Genomics and Immunoregulation, Life and Medical Sciences (LIMES) Institute, University of Bonn, Bonn, Germany","Ioanna Gemünd 35032429"
"93","Matthias","","","Barone",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Matthias Barone 35032429"
"94","Pinkus","","","Tober-Lau",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","Pinkus Tober-Lau 35032429"
"95","Elisa","T","","Helbig",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","Elisa Helbig 35032429"
"96","David","","","Hillus",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","David Hillus 35032429"
"97","Lev","","","Petrov",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Lev Petrov 35032429"
"98","Julia","","","Stein",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Julia Stein 35032429"
"99","Hannah-Philine","","","Dey",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Hannah-Philine Dey 35032429"
"100","Daniela","","","Paclik",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Daniela Paclik 35032429"
"101","Christina","","","Iwert",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Medical Immunology, Charité - Universitätsmedizin Berlin, Berlin, Germany","Christina Iwert 35032429"
"102","Michael","","","Mülleder",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Core Facility, High Throughput Mass Spectrometry, Charité - Universitätsmedizin Berlin, Berlin, Germany","Michael Mülleder 35032429"
"103","Simran","Kaur","","Aulakh",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Molecular Biology of Metabolism Laboratory, The Francis Crick Institute, London, UK","Simran Aulakh 35032429"
"104","Sonja","","","Djudjaj",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Pathology, University Clinic Aachen, RWTH Aachen, Aachen, Germany","Sonja Djudjaj 35032429"
"105","Roman","D","","Bülow",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Institute of Pathology, University Clinic Aachen, RWTH Aachen, Aachen, Germany","Roman Bülow 35032429"
"106","Henrik","E","","Mei",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Mass Cytometry Laboratory, DRFZ Berlin, A Leibniz Institute, Berlin, Germany","Henrik Mei 35032429"
"107","Axel","R","","Schulz",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Mass Cytometry Laboratory, DRFZ Berlin, A Leibniz Institute, Berlin, Germany","Axel Schulz 35032429"
"108","Andreas","","","Thiel",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Si-M/""Der Simulierte Mensch"" a Science Framework of Technische Universität Berlin and Charité - Universitätsmedizin Berlin, Berlin, Germany","Andreas Thiel 35032429"
"109","Stefan","","","Hippenstiel",35032429,"Complement activation induces excessive T cell cytotoxicity in severe COVID-19.","10.1016/j.cell.2021.12.040","Cell","Department of Infectious Diseases and Respiratory Medicine, Charité - Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, Berlin, Germany","Stefan Hippenstiel 35032429"
